DATE,OPEN,HIGH,LOW,CLOSE,VOL
2017-01-12,164.922,166.993,164.515,166.855,778504.85876184
2017-01-13,166.805,168.183,165.933,167.172,1250630.3014034
2017-01-17,166.746,169.769,165.407,165.447,1096685.0150892
2017-01-18,165.457,166.587,164.287,166.389,827499.4176931
2017-01-19,166.617,167.192,163.772,164.247,634217.65816686
2017-01-20,164.743,165.378,162.989,164.039,764621.99102975
2017-01-23,159.806,161.293,157.14,160.461,1481202.7227945
2017-01-24,161.452,163.534,160.461,160.956,922615.52238159
2017-01-25,162.027,162.889,159.727,160.183,1012751.2668032
2017-01-26,160.431,162.047,158.161,158.31,1360878.1468259
2017-01-27,158.904,159.033,156.813,157.239,803678.02264692
2017-01-30,158.171,158.171,155.821,157.487,760110.71472559
2017-01-31,156.773,157.536,155.227,157.11,1104105.6207452
2017-02-01,156.862,157.725,152.739,153.591,1667678.2253386
2017-02-02,153.115,155.95,153.026,155.296,1553105.7284143
2017-02-03,155.891,156.585,154.88,155.693,889272.22728287
2017-02-06,154.691,155.921,152.957,153.284,987758.67502418
2017-02-07,154.186,155.019,150.915,152.233,1245534.9399069
2017-02-08,151.41,156.535,151.371,155.673,2009495.1694752
2017-02-09,155.217,157.992,154.285,157.675,1152170.0820127
2017-02-10,158.052,158.657,156.089,156.922,768514.88352925
2017-02-13,157.834,157.834,155.108,155.336,1031104.0507481
2017-02-14,155.336,157.636,154.81,157.239,977857.47267057
2017-02-15,156.188,158.121,155.901,156.753,726361.88897519
2017-02-16,157.08,157.318,153.333,153.968,1419672.0210565
2017-02-17,153.611,154.84,152.788,154.543,1632650.2631048
2017-02-21,157.358,162.166,153.68,154.126,3436076.3433508
2017-02-22,153.74,154.949,148.496,152.719,3599882.4807099
2017-02-23,152.362,152.699,149.824,150.855,1459746.9232164
2017-02-24,149.636,151.351,148.674,150.468,1672444.7236698
2017-02-27,150.003,150.528,148.585,150.092,1509424.4280461
2017-02-28,148.853,151.797,148.417,149.784,1136789.1719479
2017-03-01,151.698,151.698,148.853,149.844,1085045.6801166
2017-03-02,149.844,151.212,149.626,150.498,1210826.7617939
2017-03-03,150.449,151.252,147.584,148.575,1309191.1468267
2017-03-06,148.575,149.279,147.475,147.534,1106108.0544357
2017-03-07,147.544,148.05,145.006,145.363,1152813.6853852
2017-03-08,146.801,148.952,146.176,148.446,1480018.4118864
2017-03-09,148.208,148.704,147.495,148.387,1071241.4974364
2017-03-10,148.744,149.021,146.692,147.257,1113014.1809067
2017-03-13,146.117,148.198,145.363,147.633,1004711.2685598
2017-03-14,147.584,147.891,146.236,146.999,937416.38238488
2017-03-15,146.87,146.89,144.57,146.255,1666284.0876256
2017-03-16,146.097,147.058,145.205,146.702,610098.67221958
2017-03-17,145.79,146.553,144.332,145.77,1186920.6289997
2017-03-20,146.285,147.514,145.234,145.809,1099287.6744955
2017-03-21,145.899,146.176,144.094,144.62,1110242.0460042
2017-03-22,145.046,145.492,143.976,144.729,691603.27172648
2017-03-23,144.729,145.809,143.648,144.273,682548.43807125
2017-03-24,144.273,144.481,142.905,143.282,643424.81801214
2017-03-27,142.082,142.34,139.852,141.418,804619.21692058
2017-03-28,140.823,142.439,140.04,141.943,1169790.4897061
2017-03-29,141.963,143.619,141.23,143.222,772361.37202384
2017-03-30,142.796,143.192,141.933,142.251,731209.08992365
2017-03-31,141.844,142.954,141.002,141.844,1026065.1810837
2017-04-03,141.983,142.756,137.364,139.227,2121385.3131587
2017-04-04,138.662,138.95,136.521,136.868,1120537.6823996
2017-04-05,137.552,138.434,136.392,136.59,774952.93482021
2017-04-06,137.542,138.395,136.214,136.412,799861.79763381
2017-04-07,136.362,137.354,135.787,135.906,969965.76548643
2017-04-10,135.748,137.552,135.738,136.68,772731.59528046
2017-04-11,136.343,137.711,135.381,137.274,798125.68258026
2017-04-12,136.749,136.749,134.975,135.609,622949.55523361
2017-04-13,135.778,136.68,134.796,134.796,498168.17722746
2017-04-17,135.163,135.381,134.122,134.756,675489.9854102
2017-04-18,134.291,135.47,134.291,134.816,675514.19619537
2017-04-19,135.421,138.513,135.421,136.273,1285551.3326693
2017-04-20,137.364,140.456,136.917,140.238,1336602.7995577
2017-04-21,140.149,140.655,138.761,140.476,1067727.9072379
2017-04-24,141.497,141.933,139.614,140.734,946015.24625265
2017-04-25,140.635,140.635,137.978,139.386,1076886.6455129
2017-04-26,139.971,140.546,139.128,139.485,1163164.80483
2017-04-27,139.455,141.864,134.866,137.017,2173586.7923428
